Date,Description,Amount,Category
2023-07-30,Gas Station,-353.52,Transportation
2023-07-30,Insurance Payment,-452.06,Insurance
2023-07-31,Gym Membership,-306.0,Fitness
2023-07-31,Car Repair,-199.16,Transportation
2023-08-01,Insurance Payment,-452.56,Insurance
2023-08-01,Medical Bill,-275.99,Medical
2023-08-01,Salary Credit,2567.31,Income
2023-08-02,Amazon Shopping,-431.87,Shopping
2023-08-02,Groceries - Walmart,-399.25,Groceries
2023-08-03,Hotel Booking,-248.6,Travel
2023-08-03,Medical Bill,-232.27,Medical
2023-08-04,Gym Membership,-248.85,Fitness
2023-08-04,Flight Ticket,-108.52,Travel
2023-08-05,Movie Ticket,-174.07,Entertainment
2023-08-05,Online Course Payment,-68.8,Education
2023-08-05,Movie Ticket,-80.19,Entertainment
2023-08-06,Movie Ticket,-322.23,Entertainment
2023-08-06,Electricity Bill,-349.77,Utilities
2023-08-07,Netflix Subscription,-437.79,Subscription
2023-08-08,Car Repair,-302.96,Transportation
2023-08-08,Insurance Payment,-25.23,Insurance
2023-08-08,Groceries - Walmart,-175.82,Groceries
2023-08-09,Gym Membership,-64.71,Fitness
2023-08-09,Dinner at Restaurant,-181.22,Food & Drinks
2023-08-10,Starbucks Coffee,-68.73,Food & Drinks
2023-08-10,Flight Ticket,-164.18,Travel
2023-08-11,Online Course Payment,-315.81,Education
2023-08-11,Online Course Payment,-258.27,Education
2023-08-12,Movie Ticket,-35.23,Entertainment
2023-08-12,Uber Ride,-404.07,Travel
2023-08-12,Hotel Booking,-300.65,Travel
2023-08-13,Online Course Payment,-188.38,Education
2023-08-13,Gas Station,-311.04,Transportation
2023-08-13,Gas Station,-233.95,Transportation
2023-08-14,Gas Station,-78.13,Transportation
2023-08-15,Freelance Payment,2374.33,Income
2023-08-15,Gas Station,-376.06,Transportation
2023-08-15,Flight Ticket,-434.27,Travel
2023-08-16,Netflix Subscription,-201.6,Subscription
2023-08-16,Groceries - Walmart,-95.23,Groceries
2023-08-17,Hotel Booking,-109.67,Travel
2023-08-17,Spotify Subscription,-120.44,Subscription
2023-08-17,Flight Ticket,-298.83,Travel
2023-08-18,Netflix Subscription,-326.17,Subscription
2023-08-18,Car Repair,-48.03,Transportation
2023-08-19,Starbucks Coffee,-281.08,Food & Drinks
2023-08-19,Electricity Bill,-218.67,Utilities
2023-08-19,Insurance Payment,-192.49,Insurance
2023-08-20,Gym Membership,-450.33,Fitness
2023-08-21,Flight Ticket,-168.52,Travel
2023-08-21,Salary Credit,1015.07,Income
2023-08-22,Gym Membership,-185.85,Fitness
2023-08-23,Phone Bill,-48.5,Utilities
2023-08-23,Dinner at Restaurant,-44.72,Food & Drinks
2023-08-24,Electricity Bill,-350.0,Utilities
2023-08-24,Gym Membership,-201.94,Fitness
2023-08-24,Phone Bill,-433.43,Utilities
2023-08-25,Hotel Booking,-247.92,Travel
2023-08-25,Gym Membership,-335.98,Fitness
2023-08-26,Starbucks Coffee,-280.6,Food & Drinks
2023-08-27,Insurance Payment,-420.1,Insurance
2023-08-27,Groceries - Walmart,-97.59,Groceries
2023-08-28,Uber Ride,-215.59,Travel
2023-08-28,Salary Credit,2472.49,Income
2023-08-29,Salary Credit,2221.24,Income
2023-08-29,Gym Membership,-292.71,Fitness
2023-08-29,Phone Bill,-466.35,Utilities
2023-08-30,Phone Bill,-298.97,Utilities
2023-08-31,Car Repair,-229.86,Transportation
2023-08-31,Groceries - Walmart,-36.37,Groceries
2023-09-01,Flight Ticket,-343.86,Travel
2023-09-01,Medical Bill,-131.05,Medical
2023-09-02,Dinner at Restaurant,-381.31,Food & Drinks
2023-09-03,Online Course Payment,-238.43,Education
2023-09-03,Netflix Subscription,-177.69,Subscription
2023-09-03,Hotel Booking,-426.11,Travel
2023-09-04,Gas Station,-466.8,Transportation
2023-09-04,Phone Bill,-469.48,Utilities
2023-09-05,Netflix Subscription,-463.59,Subscription
2023-09-05,Electricity Bill,-414.83,Utilities
2023-09-05,Groceries - Walmart,-104.81,Groceries
2023-09-06,Netflix Subscription,-86.31,Subscription
2023-09-06,Groceries - Walmart,-121.67,Groceries
2023-09-07,Uber Ride,-161.52,Travel
2023-09-07,Amazon Shopping,-199.26,Shopping
2023-09-08,Electricity Bill,-191.59,Utilities
2023-09-08,Insurance Payment,-313.93,Insurance
2023-09-08,Salary Credit,2495.22,Income
2023-09-09,Salary Credit,1464.43,Income
2023-09-09,Salary Credit,1782.96,Income
2023-09-09,Starbucks Coffee,-274.06,Food & Drinks
2023-09-10,Freelance Payment,1233.8,Income
2023-09-10,Gym Membership,-169.74,Fitness
2023-09-10,Insurance Payment,-170.78,Insurance
2023-09-11,Online Course Payment,-311.94,Education
2023-09-11,Medical Bill,-372.02,Medical
2023-09-11,Uber Ride,-498.86,Travel
2023-09-12,Salary Credit,2413.96,Income
2023-09-13,Salary Credit,1067.06,Income
2023-09-13,Starbucks Coffee,-382.42,Food & Drinks
2023-09-13,Amazon Shopping,-174.33,Shopping
2023-09-14,Flight Ticket,-59.76,Travel
2023-09-14,Uber Ride,-231.22,Travel
2023-09-15,Electricity Bill,-79.21,Utilities
2023-09-15,Online Course Payment,-207.43,Education
2023-09-15,Flight Ticket,-361.42,Travel
2023-09-16,Insurance Payment,-348.5,Insurance
2023-09-16,Uber Ride,-359.51,Travel
2023-09-16,Groceries - Walmart,-414.27,Groceries
2023-09-17,Amazon Shopping,-174.55,Shopping
2023-09-17,Gym Membership,-203.42,Fitness
2023-09-18,Gas Station,-309.4,Transportation
2023-09-18,Flight Ticket,-73.86,Travel
2023-09-18,Car Repair,-307.67,Transportation
2023-09-19,Electricity Bill,-436.7,Utilities
2023-09-19,Spotify Subscription,-55.6,Subscription
2023-09-19,Movie Ticket,-349.84,Entertainment
2023-09-20,Electricity Bill,-327.43,Utilities
2023-09-21,Dinner at Restaurant,-214.94,Food & Drinks
2023-09-22,Gas Station,-467.51,Transportation
2023-09-23,Phone Bill,-228.17,Utilities
2023-09-23,Gas Station,-121.77,Transportation
2023-09-24,Gas Station,-97.23,Transportation
2023-09-24,Salary Credit,2739.79,Income
2023-09-25,Insurance Payment,-297.68,Insurance
2023-09-25,Online Course Payment,-32.11,Education
2023-09-25,Dinner at Restaurant,-106.76,Food & Drinks
2023-09-26,Dinner at Restaurant,-61.56,Food & Drinks
2023-09-27,Phone Bill,-461.87,Utilities
2023-09-28,Car Repair,-243.01,Transportation
2023-09-28,Hotel Booking,-295.6,Travel
2023-09-28,Spotify Subscription,-456.81,Subscription
2023-09-29,Freelance Payment,1331.03,Income
2023-09-29,Salary Credit,1724.79,Income
2023-09-30,Phone Bill,-317.97,Utilities
2023-09-30,Car Repair,-333.45,Transportation
2023-09-30,Freelance Payment,2951.08,Income
2023-10-01,Hotel Booking,-280.87,Travel
2023-10-02,Electricity Bill,-253.59,Utilities
2023-10-02,Salary Credit,1619.87,Income
2023-10-03,Insurance Payment,-108.9,Insurance
2023-10-03,Insurance Payment,-177.95,Insurance
2023-10-04,Hotel Booking,-23.09,Travel
2023-10-04,Movie Ticket,-284.6,Entertainment
2023-10-05,Salary Credit,2551.06,Income
2023-10-05,Online Course Payment,-266.19,Education
2023-10-06,Hotel Booking,-203.38,Travel
2023-10-06,Gym Membership,-383.85,Fitness
2023-10-07,Electricity Bill,-431.58,Utilities
2023-10-08,Netflix Subscription,-189.79,Subscription
2023-10-08,Amazon Shopping,-449.23,Shopping
2023-10-08,Starbucks Coffee,-207.32,Food & Drinks
2023-10-09,Car Repair,-434.16,Transportation
2023-10-09,Electricity Bill,-18.41,Utilities
2023-10-09,Netflix Subscription,-119.38,Subscription
2023-10-10,Electricity Bill,-56.53,Utilities
2023-10-10,Online Course Payment,-286.87,Education
2023-10-10,Insurance Payment,-328.11,Insurance
2023-10-11,Electricity Bill,-54.22,Utilities
2023-10-11,Gas Station,-303.58,Transportation
2023-10-11,Gas Station,-415.96,Transportation
2023-10-12,Gas Station,-150.11,Transportation
2023-10-13,Freelance Payment,2266.48,Income
2023-10-13,Salary Credit,1415.77,Income
2023-10-14,Movie Ticket,-94.81,Entertainment
2023-10-14,Uber Ride,-323.25,Travel
2023-10-14,Car Repair,-446.87,Transportation
2023-10-15,Groceries - Walmart,-174.2,Groceries
2023-10-15,Amazon Shopping,-413.43,Shopping
2023-10-15,Netflix Subscription,-297.2,Subscription
2023-10-16,Groceries - Walmart,-207.66,Groceries
2023-10-17,Dinner at Restaurant,-220.88,Food & Drinks
2023-10-17,Spotify Subscription,-113.66,Subscription
2023-10-18,Spotify Subscription,-74.36,Subscription
2023-10-18,Amazon Shopping,-285.06,Shopping
2023-10-19,Gas Station,-238.18,Transportation
2023-10-19,Hotel Booking,-244.97,Travel
2023-10-19,Hotel Booking,-138.0,Travel
2023-10-20,Flight Ticket,-204.26,Travel
2023-10-20,Dinner at Restaurant,-73.98,Food & Drinks
2023-10-21,Gas Station,-492.28,Transportation
2023-10-21,Flight Ticket,-347.15,Travel
2023-10-21,Groceries - Walmart,-14.1,Groceries
2023-10-22,Amazon Shopping,-290.38,Shopping
2023-10-22,Gym Membership,-38.25,Fitness
2023-10-23,Gym Membership,-415.72,Fitness
2023-10-24,Amazon Shopping,-74.31,Shopping
2023-10-24,Gym Membership,-367.43,Fitness
2023-10-24,Starbucks Coffee,-302.26,Food & Drinks
2023-10-25,Freelance Payment,2146.59,Income
2023-10-26,Gas Station,-28.25,Transportation
2023-10-27,Phone Bill,-96.26,Utilities
2023-10-27,Uber Ride,-386.64,Travel
2023-10-28,Phone Bill,-147.9,Utilities
2023-10-29,Freelance Payment,2220.81,Income
2023-10-30,Starbucks Coffee,-201.34,Food & Drinks
2023-10-30,Groceries - Walmart,-244.46,Groceries
2023-10-31,Uber Ride,-272.22,Travel
2023-10-31,Insurance Payment,-299.56,Insurance
2023-11-01,Hotel Booking,-250.7,Travel
2023-11-01,Flight Ticket,-81.56,Travel
2023-11-01,Dinner at Restaurant,-386.6,Food & Drinks
2023-11-02,Dinner at Restaurant,-42.19,Food & Drinks
2023-11-03,Salary Credit,1990.98,Income
2023-11-04,Electricity Bill,-220.24,Utilities
2023-11-04,Freelance Payment,1151.87,Income
2023-11-04,Car Repair,-400.71,Transportation
2023-11-05,Gym Membership,-297.16,Fitness
2023-11-05,Insurance Payment,-160.73,Insurance
2023-11-05,Hotel Booking,-72.73,Travel
2023-11-06,Hotel Booking,-96.64,Travel
2023-11-06,Movie Ticket,-437.11,Entertainment
2023-11-07,Hotel Booking,-331.1,Travel
2023-11-07,Movie Ticket,-425.35,Entertainment
2023-11-07,Car Repair,-247.27,Transportation
2023-11-08,Dinner at Restaurant,-472.31,Food & Drinks
2023-11-08,Online Course Payment,-26.86,Education
2023-11-08,Movie Ticket,-463.0,Entertainment
2023-11-09,Freelance Payment,1067.89,Income
2023-11-09,Freelance Payment,1594.7,Income
2023-11-09,Movie Ticket,-62.06,Entertainment
2023-11-10,Car Repair,-373.81,Transportation
2023-11-10,Medical Bill,-423.05,Medical
2023-11-10,Car Repair,-263.61,Transportation
2023-11-11,Hotel Booking,-326.83,Travel
2023-11-11,Netflix Subscription,-282.54,Subscription
2023-11-11,Flight Ticket,-43.09,Travel
2023-11-12,Phone Bill,-173.24,Utilities
2023-11-13,Spotify Subscription,-288.35,Subscription
2023-11-13,Hotel Booking,-271.51,Travel
2023-11-13,Flight Ticket,-314.82,Travel
2023-11-14,Amazon Shopping,-438.95,Shopping
2023-11-15,Netflix Subscription,-435.7,Subscription
2023-11-15,Flight Ticket,-266.82,Travel
2023-11-16,Freelance Payment,1018.97,Income
2023-11-16,Hotel Booking,-203.96,Travel
2023-11-16,Spotify Subscription,-315.62,Subscription
2023-11-17,Amazon Shopping,-50.39,Shopping
2023-11-17,Freelance Payment,2045.04,Income
2023-11-17,Salary Credit,1477.55,Income
2023-11-18,Flight Ticket,-180.54,Travel
2023-11-18,Car Repair,-151.67,Transportation
2023-11-18,Groceries - Walmart,-25.84,Groceries
2023-11-19,Gas Station,-27.32,Transportation
2023-11-20,Hotel Booking,-198.86,Travel
2023-11-20,Uber Ride,-113.04,Travel
2023-11-20,Groceries - Walmart,-394.24,Groceries
2023-11-21,Gym Membership,-491.25,Fitness
2023-11-21,Gas Station,-302.4,Transportation
2023-11-21,Flight Ticket,-494.65,Travel
2023-11-22,Medical Bill,-37.17,Medical
2023-11-22,Electricity Bill,-471.65,Utilities
2023-11-22,Insurance Payment,-258.78,Insurance
2023-11-23,Phone Bill,-92.38,Utilities
2023-11-23,Dinner at Restaurant,-97.29,Food & Drinks
2023-11-24,Gym Membership,-401.38,Fitness
2023-11-24,Online Course Payment,-112.08,Education
2023-11-24,Dinner at Restaurant,-464.24,Food & Drinks
2023-11-25,Hotel Booking,-91.08,Travel
2023-11-25,Amazon Shopping,-260.05,Shopping
2023-11-26,Hotel Booking,-81.18,Travel
2023-11-26,Netflix Subscription,-116.1,Subscription
2023-11-27,Online Course Payment,-22.26,Education
2023-11-28,Groceries - Walmart,-50.29,Groceries
2023-11-28,Dinner at Restaurant,-198.63,Food & Drinks
2023-11-29,Dinner at Restaurant,-26.97,Food & Drinks
2023-11-29,Starbucks Coffee,-431.75,Food & Drinks
2023-11-29,Dinner at Restaurant,-167.88,Food & Drinks
2023-11-30,Groceries - Walmart,-368.93,Groceries
2023-12-01,Online Course Payment,-7.52,Education
2023-12-01,Groceries - Walmart,-29.15,Groceries
2023-12-02,Gym Membership,-481.25,Fitness
2023-12-02,Movie Ticket,-343.21,Entertainment
2023-12-03,Flight Ticket,-426.35,Travel
2023-12-04,Insurance Payment,-413.22,Insurance
2023-12-05,Electricity Bill,-285.04,Utilities
2023-12-05,Flight Ticket,-368.29,Travel
2023-12-06,Movie Ticket,-330.93,Entertainment
2023-12-06,Salary Credit,1314.68,Income
2023-12-06,Movie Ticket,-355.64,Entertainment
2023-12-07,Flight Ticket,-350.25,Travel
2023-12-07,Amazon Shopping,-57.39,Shopping
2023-12-07,Gym Membership,-98.66,Fitness
2023-12-08,Phone Bill,-480.85,Utilities
2023-12-09,Insurance Payment,-440.14,Insurance
2023-12-10,Amazon Shopping,-410.87,Shopping
2023-12-10,Freelance Payment,1321.52,Income
2023-12-11,Gas Station,-379.53,Transportation
2023-12-11,Spotify Subscription,-8.16,Subscription
2023-12-12,Gas Station,-166.58,Transportation
2023-12-13,Hotel Booking,-62.34,Travel
2023-12-14,Flight Ticket,-391.02,Travel
2023-12-14,Gym Membership,-145.25,Fitness
2023-12-15,Amazon Shopping,-218.96,Shopping
2023-12-15,Starbucks Coffee,-174.23,Food & Drinks
2023-12-15,Online Course Payment,-466.35,Education
2023-12-16,Uber Ride,-91.01,Travel
2023-12-17,Uber Ride,-153.98,Travel
2023-12-17,Hotel Booking,-386.64,Travel
2023-12-18,Amazon Shopping,-239.42,Shopping
2023-12-19,Car Repair,-436.41,Transportation
2023-12-19,Online Course Payment,-484.59,Education
2023-12-20,Netflix Subscription,-299.23,Subscription
2023-12-20,Spotify Subscription,-17.17,Subscription
2023-12-20,Phone Bill,-411.65,Utilities
2023-12-21,Online Course Payment,-410.3,Education
2023-12-21,Phone Bill,-343.23,Utilities
